,City,Country,Max Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bethel,US,-16.07,60.79,-161.76,76,1,12.75
1,Maloy,ID,76.09,1,118.1,84,8,2.62
2,Rikitea,PF,79.92,-23.12,-134.97,97,44,15.03
3,Port Hardy,CA,46.4,50.7,-127.42,87,75,3.36
4,Geraldton,CA,-2.21,49.72,-86.95,49,75,2.24
5,Fortuna,ES,51.8,38.18,-1.13,42,0,5.82
6,Dikson,RU,-17.69,73.51,80.55,100,32,7.76
7,Busselton,AU,64.53,-33.64,115.35,100,12,13.02
8,Vaini,IN,61.65,15.34,74.49,72,0,3.29
9,Geilo,NO,27.49,60.53,8.21,79,76,8.1
10,Nicoya,CR,89.6,10.15,-85.45,43,0,9.17
12,Porgera,PG,48.96,-5.46,143.15,93,32,2.84
13,Cabo San Lucas,MX,75.2,22.89,-109.91,64,5,2.17
15,Souillac,FR,39.2,45.6,-0.6,69,0,5.82
16,Semporna,MY,75.2,4.48,118.61,94,75,1.12
18,Tasiilaq,GL,21.2,65.61,-37.64,62,75,17.22
19,Mataura,NZ,51.93,-46.19,168.86,78,88,14.47
20,Karema,TZ,69.39,-6.82,30.44,95,36,1.16
21,Panji,CN,35.1,32.78,116.82,100,80,3.06
22,Tuktoyaktuk,CA,-36.41,69.44,-133.03,65,40,8.05
23,Ostrovnoy,RU,11.92,68.05,39.51,84,88,28.57
24,Saint-Francois,FR,32,46.42,3.91,94,90,3.36
26,Kupang,ID,81,-10.16,123.6,99,76,5.08
27,Hobart,AU,59,-42.88,147.33,72,75,4.7
28,San Patricio,PY,78.52,-26.98,-56.83,100,32,2.28
29,Mar del Plata,AR,70.42,-46.43,-67.52,29,0,18.72
31,Hualmay,PE,76.32,-11.1,-77.61,71,44,5.64
32,Osakarovka,KZ,-1.72,50.56,72.58,78,36,7.31
33,Inuvik,CA,-27.41,68.36,-133.71,66,75,3.36
34,Sangar,RU,-38.93,63.92,127.47,0,44,7.09
35,Atuona,PF,81.45,-9.8,-139.03,99,68,18.84
36,Necochea,AR,58.05,-38.55,-58.74,95,92,8.66
37,Biltine,TD,73.12,14.53,20.93,29,0,7.54
38,Pevek,RU,8.91,69.7,170.27,72,0,22.19
39,Palmeirais,BR,77.76,-5.97,-43.06,97,76,3.96
40,Lebu,ET,46.21,8.96,38.73,54,0,4.52
41,Puerto Ayora,EC,82.4,-0.74,-90.35,58,0,9.17
42,Yar-Sale,RU,-19.27,66.83,70.83,84,24,7.99
43,Castro,CL,60.8,-42.48,-73.76,59,0,9.17
44,Discovery Bay,JM,82.4,18.46,-77.4,69,20,4.7
45,Nhulunbuy,AU,82.4,-12.18,136.78,88,40,8.05
47,Hilo,US,69.08,19.71,-155.08,84,90,6.93
48,Naze,NG,86,5.43,7.07,55,88,4.7
49,Vila,IT,42.8,45.18,8.4,25,0,11.41
50,Pitimbu,BR,87.8,-7.47,-34.81,52,20,17.22
51,Ambulu,ID,76.36,-8.35,113.61,100,80,4.18
52,Touros,BR,89.6,-5.2,-35.46,55,40,16.11
53,Kamena Vourla,GR,51.8,38.78,22.79,62,75,4.7
54,Northam,GB,42.8,51.04,-4.21,93,75,4.7
56,Rozivka,UA,31.99,47.51,38.15,94,92,16.71
57,Luderitz,NA,62.59,-26.65,15.16,78,0,13.02
58,Georgetown,GY,86,6.8,-58.16,74,75,16.11
59,Santa Cruz del Sur,CU,81.31,20.71,-78,73,8,4.63
60,Ushuaia,AR,59,-54.81,-68.31,54,40,13.87
61,Sao Joao da Barra,BR,87.8,-21.64,-41.05,52,0,16.11
62,Ilulissat,GL,-0.41,69.22,-51.1,49,20,3.36
64,Bluff,AU,68.89,-23.58,149.07,87,48,8.66
65,Anito,PH,80.1,12.45,125.29,96,76,22.86
66,Slavyanka,RU,26.37,42.86,131.39,100,0,11.56
67,Hermanus,ZA,65.74,-34.42,19.24,60,0,7.31
68,Chuy,UY,73.17,-33.69,-53.46,100,48,6.2
69,Butaritari,KI,84.82,3.07,172.79,100,56,11.79
70,Saldanha,PT,36.22,41.42,-6.55,74,0,8.43
72,Daokou,CN,1.21,35.61,105.12,65,0,2.39
73,Faya,SA,60.8,18.39,42.45,87,0,3.85
75,Punta Arenas,CL,57.2,-53.16,-70.91,50,75,29.97
76,Cidreira,BR,82.57,-30.17,-50.22,86,56,9.78
78,Los Llanos de Aridane,ES,64.4,28.66,-17.92,63,75,4.7
80,Airai,TL,69.12,-8.93,125.41,92,12,1.95
